PSTL,STD
3.1238,3.103
2.4974,2.273
3.0419,3.1414
2.668,2.2841
3.3933,2.75
2.8016,2.5108
3.0185,2.2493
2.8831,2.8733
2.662,2.433
2.5043,2.5254
3.3588,2.2024
2.5729,2.2403
2.8594,2.558
3.5569,2.4697
2.3425,2.401
3.0089,2.9412
2.8659,2.1842
3.6598,2.4267
2.5952,2.3403
3.0709,2.6618
3.551,2.6373
2.4276,2.8175
2.619,2.9908
2.6806,2.2497
2.5091,3.167
2.8657,2.2555
3.1009,6.9201
2.5185,7.5737
2.1554,7.1973
2.5822,8.4968
2.3858,6.1157
2.5356,2.9071
2.463,2.3954
2.339,2.158
3.1233,3.0189
2.971,3.1855
2.5125,2.2521
2.5545,2.3515
2.8848,2.3506
2.3141,2.1484
2.5652,2.2223
2.8567,2.7632
2.73,2.4084
2.5174,2.2119
2.5764,2.5822
2.7665,2.1869
2.8858,2.2033
2.584,2.2339
2.5466,2.0975
2.5541,2.3153
2.5796,2.1998
2.6058,2.4454
2.7671,6.7806
2.4981,2.3566
2.7047,2.3725
2.5819,3.0033
2.7322,2.4099
2.5601,2.2988
2.624,2.4273
2.3808,2.3504
2.4912,2.2386
2.9329,3.1525
2.6882,2.2629
2.8816,2.6319
2.4751,2.4659
2.2881,2.448
2.5324,2.9401
2.4816,2.3109
2.7715,2.2857
2.5121,2.4135
3.1903,2.7797
2.61,2.354
2.8378,2.2287
2.5768,2.8028
2.8246,2.1336
2.4699,2.1878
2.4654,2.2089
2.5857,2.2698
3.0074,2.3231
2.2448,2.3365
2.975,3.1101
2.739,2.8044
3.0916,3.0622
3.6962,3.0863
2.8682,2.7946
4.0101,2.9396
2.9136,2.3353
5.8454,2.1074
6.0736,2.1778
3.3578,2.582
2.624,2.2879
2.5336,2.5107
2.572,2.1333
2.8158,2.6233
2.4962,2.2994
2.4049,2.1938
2.6149,2.394
2.5469,2.4855
2.6426,2.3003
2.3316,2.1377
2.4595,2.2214
2.389,2.3047
2.3575,1.9883
2.5971,2.2362
2.7498,2.8843
2.8053,2.2832
2.6207,2.41
2.5283,2.1884
2.5227,2.1954
2.5099,2.4191
2.5112,2.3728
2.4648,2.2241
2.5706,2.1983
2.7339,2.2403
2.4897,2.9784
3.2442,2.1321
2.3212,1.8949
2.558,2.1862
2.6208,2.2606
2.2225,2.0772
3.0074,2.5245
2.5775,2.2969
2.6357,2.7261
2.5597,2.2425
2.4067,2.3706
2.5118,2.164
2.5398,2.6486
2.4544,2.1624
2.5161,2.3405
2.5345,2.4814
5.2301,2.5432
2.5062,2.3333
2.2077,2.4828
2.4417,2.2745
2.4,2.3931
3.1914,2.222
3.1622,2.7406
2.4932,2.3275
2.8467,2.5232
2.5497,2.4718
2.1981,2.3513
4.5273,2.9234
